permit,apn,parsed_address
str-02005l,4303703300,2070 illion st 92110
str-02053l,4495820800,3611 quimby st 92106
str-00324l,4236032300,3625 mission blvd 92109
str-03878l,4153812100,4928 crystal dr 92109
str-01256l,4237120402,729 san gabriel pl 92109
str-01256l,4237120401,727 san gabriel pl 92109
str-01618l,5383301300,604 s evans st 92113
str-02468l,4530420800,3806 arizona st 92104
str-05133l,4452912000,4210 cleveland ave 92103
str-02566l,4163210600,1643 beryl st 92109
str-02606l,4393920900,4745 33rd st 92116
str-05187l,4497803864,4012 valeta st #298 92110
str-05187l,4497803822,3942 valeta st #256 92110
str-05187l,4497803640,2636 worden st #118 92110
str-05187l,4497803955,4082 valeta st #365 92110
str-05187l,4497803937,4062 valeta st #347 92110
str-05187l,4497803866,4012 valeta st #300 92110
str-05187l,4497803857,4012 valeta st #291 92110
str-05187l,4497803723,2624 worden st #184 92110
str-05187l,4497803554,2676 worden st #54 92110
str-05187l,4497803747,2640 worden st #205 92110
str-05187l,4497803730,2632 worden st #188 92110
str-05187l,4497803706,2620 worden st #164 92110
str-05187l,4497803673,2628 worden st #151 92110
str-05187l,4497803506,2666 worden st #06 92110
str-05187l,4497803947,4082 valeta st #357 92110
str-05187l,4497803826,3982 valeta st #260 92110
str-05187l,4497803755,2640 worden st #213 92110
str-05187l,4497803745,2640 worden st #203 92110
str-05187l,4497803975,4098 valeta st #385 92110
str-05187l,4497803918,4032 valeta st #328 92110
str-05187l,4497803875,4012 valeta st #309 92110
str-05187l,4497803840,3982 valeta st #274 92110
str-05187l,4497803823,3942 valeta st #257 92110
str-05187l,4497803617,2654 worden st #95 92110
str-05187l,4497803608,2690 worden st #86 92110
str-05187l,4497803917,4032 valeta st #327 92110
str-05187l,4497803761,2658 worden st #219 92110
str-05187l,4497803752,2640 worden st #211 92110
str-05187l,4497803728,2624 worden st #179 92110
str-05187l,4497803718,2624 worden st #176 92110
str-05187l,4497803909,4032 valeta st #319 92110
str-05187l,4497803712,2620 worden st #173 92110
str-05187l,4497803508,2666 worden st #08 92110
str-05187l,4497803935,4062 valeta st #345 92110
str-05187l,4497803925,4062 valeta st #335 92110
str-05187l,4497803809,3942 valeta st #243 92110
str-05187l,4497803802,3902 valeta st #236 92110
str-05187l,4497803740,2632 worden st #198 92110
str-05187l,4497803675,2628 worden st #153 92110
str-05187l,4497803648,2636 worden st #126 92110
str-05187l,4497803631,2636 worden st #109 92110
str-05187l,4497803830,3982 valeta st #264 92110
str-05187l,4497803815,3942 valeta st #249 92110
str-05187l,4497803764,2658 worden st #222 92110
str-05187l,4497803743,2632 worden st #201 92110
str-05187l,4497803725,2624 worden st #182 92110
str-05187l,4497803719,2624 worden st #177 92110
str-05187l,4497803657,2628 worden st #135 92110
str-05187l,4497803630,2636 worden st #108 92110
str-05187l,4497803571,2680 worden st #71 92110
str-05187l,4497803524,2670 worden st #24 92110
str-05187l,4497803738,2632 worden st #196 92110
str-05187l,4497803536,2662 worden st #36 92110
str-05187l,4497803946,4082 valeta st #356 92110
str-05187l,4497803677,2628 worden st #155 92110
str-05187l,4497803603,2690 worden st #81 92110
str-05187l,4497803964,4082 valeta st #374 92110
str-05187l,4497803943,4082 valeta st #353 92110
str-05187l,4497803928,4062 valeta st #338 92110
str-05187l,4497803906,4032 valeta st #316 92110
str-05187l,4497803974,4098 valeta st #384 92110
str-05187l,4497803945,4082 valeta st #355 92110
str-05187l,4497803922,4062 valeta st #332 92110
str-05187l,4497803827,3982 valeta st #261 92110
str-05187l,4497803813,3942 valeta st #247 92110
str-05187l,4497803528,2662 worden st #28 92110
str-05187l,4497803521,2670 worden st #21 92110
str-05187l,4497803834,3982 valeta st #268 92110
str-05187l,4497803931,4062 valeta st #341 92110
str-05187l,4497803754,2640 worden st #212 92110
str-05187l,4497803703,2620 worden st #160 92110
str-05187l,4497803539,2662 worden st #39 92110
str-05187l,4497803927,4062 valeta st #337 92110
str-05187l,4497803904,4032 valeta st #314 92110
str-05187l,4497803821,3942 valeta st #255 92110
str-05187l,4497803812,3942 valeta st #246 92110
str-05187l,4497803711,2620 worden st #174 92110
str-05187l,4497803653,2636 worden st #131 92110
str-05187l,4497803552,2676 worden st #52 92110
str-05187l,4497803854,4012 valeta st #288 92110
str-05187l,4497803720,2624 worden st #178 92110
str-05187l,4497803702,2620 worden st #161 92110
str-05187l,4497803605,2690 worden st #83 92110
str-05187l,4497803601,2690 worden st #79 92110
str-05187l,4497803558,2676 worden st #58 92110
str-05187l,4497803551,2676 worden st #51 92110
str-05187l,4497803534,2662 worden st #34 92110
str-05187l,4497803952,4082 valeta st #362 92110
str-05187l,4497803911,4032 valeta st #321 92110
str-05187l,4497803833,3982 valeta st #267 92110
str-05187l,4497803607,2690 worden st #84 92110
str-05187l,4497803527,2662 worden st #27 92110
str-05187l,4497803977,4098 valeta st #387 92110
str-05187l,4497803968,4098 valeta st #378 92110
str-05187l,4497803818,3942 valeta st #252 92110
str-05187l,4497803804,3902 valeta st #238 92110
str-05187l,4497803803,3902 valeta st #237 92110
str-05187l,4497803760,2640 worden st #218 92110
str-05187l,4497803650,2636 worden st #128 92110
str-05187l,4497803642,2636 worden st #120 92110
str-05187l,4497803610,2690 worden st #89 92110
str-05187l,4497803518,2670 worden st #18 92110
str-05187l,4497803938,4062 valeta st #348 92110
str-05187l,4497803841,3982 valeta st #275 92110
str-05187l,4497803756,2640 worden st #214 92110
str-05187l,4497803739,2632 worden st #197 92110
str-05187l,4497803667,2628 worden st #145 92110
str-05187l,4497803632,2636 worden st #110 92110
str-05187l,4497803618,2654 worden st #96 92110
str-05187l,4497803538,2662 worden st #38 92110
str-05187l,4497803537,2662 worden st #37 92110
str-05187l,4497803502,2666 worden st #02 92110
str-05187l,4497803948,4082 valeta st #358 92110
str-05187l,4497803921,4062 valeta st #331 92110
str-05187l,4497803816,3942 valeta st #250 92110
str-05187l,4497803774,2658 worden st #232 92110
str-05187l,4497803717,2624 worden st #175 92110
str-05187l,4497803646,2636 worden st #124 92110
str-05187l,4497803519,2670 worden st #19 92110
str-05187l,4497803735,2632 worden st #193 92110
str-05187l,4497803708,2620 worden st #166 92110
str-05187l,4497803620,2654 worden st #98 92110
str-05187l,4497803577,2680 worden st #77 92110
str-05187l,4497803522,2670 worden st #22 92110
str-05187l,4497803805,3902 valeta st #240 92110
str-05187l,4497803742,2632 worden st #200 92110
str-05187l,4497803944,4082 valeta st #354 92110
str-05187l,4497803619,2654 worden st #97 92110
str-05187l,4497803550,2662 worden st #50 92110
str-05187l,4497803971,4098 valeta st #381 92110
str-05187l,4497803865,4012 valeta st #299 92110
str-05187l,4497803846,3982 valeta st #280 92110
str-05187l,4497803746,2640 worden st #204 92110
str-05187l,4497803660,2628 worden st #138 92110
str-05187l,4497803658,2628 worden st #136 92110
str-05187l,4497803839,3982 valeta st #273 92110
str-05187l,4497803744,2632 worden st #202 92110
str-05187l,4497803731,2632 worden st #189 92110
str-05187l,4497803546,2662 worden st #46 92110
str-05187l,4497803529,2662 worden st #29 92110
str-05187l,4497803520,2670 worden st #20 92110
str-05187l,4497803514,2666 worden st #14 92110
str-05187l,4497803953,4082 valeta st #363 92110
str-05187l,4497803773,2658 worden st #231 92110
str-05187l,4497803912,4032 valeta st #322 92110
str-05187l,4497803627,2654 worden st #105 92110
str-05187l,4497803576,2680 worden st #76 92110
str-05187l,4497803939,4062 valeta st #349 92110
str-05187l,4497803852,4012 valeta st #286 92110
str-05187l,4497803666,2628 worden st #144 92110
str-05187l,4497803643,2636 worden st #121 92110
str-05187l,4497803530,2662 worden st #30 92110
str-05187l,4497803924,4062 valeta st #334 92110
str-05187l,4497803876,4012 valeta st #310 92110
str-05187l,4497803801,3902 valeta st #235 92110
str-05187l,4497803710,2620 worden st #168 92110
str-05187l,4497803665,2628 worden st #143 92110
str-05187l,4497803555,2676 worden st #55 92110
str-05187l,4497803929,4062 valeta st #339 92110
str-05187l,4497803644,2636 worden st #122 92110
str-05187l,4497803628,2654 worden st #106 92110
str-05187l,4497803569,2680 worden st #69 92110
str-05187l,4497803517,2670 worden st #17 92110
str-05187l,4497803963,4082 valeta st #373 92110
str-05187l,4497803962,4082 valeta st #372 92110
str-05187l,4497803901,4032 valeta st #311 92110
str-05187l,4497803807,3902 valeta st #242 92110
str-05187l,4497803540,2662 worden st #40 92110
str-05187l,4497803855,4012 valeta st #289 92110
