licenses,parsed_address,similarity score,permit,apn,many_to_many
4855 alberson court 92130,4855 alberson court 92130,100,str-01686l,3043700600,both
2028 30th st 92104,2028 30th st 92104,100,str-01757l,5391550800,both
5145 coban st 92114,6515 acorn st 92115,79,str-02656l,4676200500,both
3327 32nd st 92104,3327 32nd st 92104,100,str-01505l,4535111200,both
1305 elevation rd 92110,1305 elevation rd 92110,100,str-04720l,4362311900,both
5037 narragansett av #1 92107,5037 narragansett ave 92107,95,str-00432l,4480702500,both
5037 narragansett av #1 92107,5037 narragansett ave 92107,95,str-00594l,4480702500,both
5037 narragansett av #1 92107,5037 narragansett ave 92107,95,str-00595l,4480702500,both
5037 narragansett av #1 92107,5037 narragansett ave 92107,95,str-00511l,4480702500,both
846 wilbur av 92109,868 wilbur ave 92109,92,str-05623l,4154021200,both
1567 guy st 92103,1569 guy st 92103,94,str-01375l,4512321600,both
1567 guy st 92103,1569 guy st 92103,94,str-01356l,4512321600,both
1330 reed av #1 92109,1330 reed ave #01 92109,95,str-00173l,4231731501,both
1330 reed av #1 92109,1330 reed ave #01 92109,95,str-05056l,4231731501,both
6266 camino de la costa 92037,6266 camino de la costa 92037,100,str-02521l,3515710900,both
2866 copley av 92116,2866 copley ave 92116,98,str-02484l,4382013300,both
6636 electric av 92037,6634 electric ave 92037,93,str-02131l,3514711800,both
6636 electric av 92037,6634 electric ave 92037,93,str-03773l,3514711800,both
718 ostend court 92109,718 ostend court 92109,100,str-03103l,4235951300,both
1061 johnson av 92103,1041 johnson ave 92103,93,str-00179l,4443710500,both
3619 strandway 92109,3651 strand way 92109,93,str-04859l,4236010500,both
3619 strandway 92109,3651 strand way 92109,93,str-04971l,4236010500,both
1137 felspar st 92109,1137 felspar st 92109,100,str-03918l,4156230501,both
1137 felspar st 92109,1137 felspar st 92109,100,str-03497l,4156230501,both
3010 nile street st 92104,3520 nile st 92104,84,str-06711l,4537541900,both
4502 north av #b 92116,4980 northaven ave 92110,71,str-01883l,4302520300,both
3681 leland st 92106,3681 leland st 92106,100,str-04730l,4507610200,both
3036 landis st 92104,3703 landis st 92105,90,str-04676l,4476520100,both
4662 mount alifan dr 92111,4662 mt alifan dr 92111,94,str-05305l,4191320100,both
1617 s 40th st 92113,1617 s 40th st 92113,100,str-00206l,5513121500,both
5041 narragansett av #4 92107,5041 narragansett ave 92107,95,str-00515l,4480702600,both
5041 narragansett av #4 92107,5041 narragansett ave 92107,95,str-01055l,4480702600,both
5041 narragansett av #4 92107,5041 narragansett ave 92107,95,str-00612l,4480702600,both
5041 narragansett av #4 92107,5041 narragansett ave 92107,95,str-00514l,4480702600,both
5041 narragansett av #4 92107,5041 narragansett ave 92107,95,str-00522l,4480702600,both
5041 narragansett av #4 92107,5041 narragansett ave 92107,95,str-00611l,4480702600,both
5288 santa margarita st 92114,5288 santa margarita st 92114,100,str-01951l,5481821300,both
5288 santa margarita st 92114,5288 santa margarita st 92114,100,str-01955l,5481821300,both
2931 k st 92102,2917 k st 92102,93,str-04659l,5452810100,both
3581 bayside walk 92109,bayside walk 92109,100,str-03160l,4235580200,both
8168 la jolla shores dr 92037,8168 la jolla shores dr 92037,100,str-00584l,3462831900,both
3442 47th st 92105,3442 47th st 92105,100,str-02222l,4761412900,both
763 york court 92109,756 york court 92109,95,str-00304l,4233141400,both
737 jamaica court #2 92109,837 jamaica court 92109,92,str-02799l,4236713601,both
737 jamaica court #2 92109,837 jamaica court 92109,92,str-01066l,4236713601,both
737 jamaica court #2 92109,837 jamaica court 92109,92,str-02802l,4236713601,both
714 capistrano place 92109,814 capistrano pl 92109,90,str-07565l,4237311200,both
2219 felspar st 92109,2219 felspar st 92109,100,str-00560l,4165630800,both
2219 felspar st 92109,2219 felspar st 92109,100,str-06041l,4165630800,both
2219 felspar st 92109,2219 felspar st 92109,100,str-06024l,4165630800,both
2143 spray st 92107,2141 spray st 92107,95,str-02092l,4480320200,both
2143 spray st 92107,2141 spray st 92107,95,str-01684l,4480320200,both
3659 florida st 92104,3659 florida st 92104,100,str-02022l,4531901500,both
4609 adair st 92107,4609 adair st 92107,100,str-01118l,4484521200,both
2233 mission av 92116,2233 mission ave 92116,98,str-01733l,4451522600,both
2877 mcgraw st 92117,2877 mcgraw st 92117,100,str-03751l,4255114000,both
5411 linda rosa av 92037,5411 linda rosa ave 92037,98,str-02283l,3576401500,both
3856 loma alta dr 92115,3856 loma alta dr 92115,100,str-02459l,4745951800,both
735 rushville st 92037,735 rushville st 92037,100,str-02483l,3511540400,both
735 rushville st 92037,735 rushville st 92037,100,str-02482l,3511540400,both
1715 robinson av 92103,1715 robinson ave 92103,98,str-01831l,4522130800,both
672 pacific view dr 92109,672 pacific view dr 92109,100,str-02326l,4156400200,both
5047 narragansett av 92107,5047 narragansett ave 92107,98,str-00913l,4480702801,both
5047 narragansett av 92107,5047 narragansett ave 92107,98,str-02256l,4480702801,both
4465 montalvo st 92107,4465 montalvo st 92107,100,str-01038l,4498608900,both
1271 willow st 92106,1271 willow st 92106,100,str-03754l,5313131100,both
2004 tulip st 92105,2004 tulip st 92105,100,str-00923l,5401711900,both
4717 cape may av 92107,4775 cape may ave 92107,93,str-00852l,4484112700,both
1828 cable st 92107,1828 cable st 92107,100,str-00203l,4481811500,both
961 thomas av 92109,961 thomas ave 92109,97,str-01032l,4231230900,both
718 jamaica court #1/2 92109,718 jamaica court 92109,100,str-00887l,4236471400,both
718 jamaica court #1/2 92109,718 jamaica court 92109,100,str-01854l,4236471400,both
718 jamaica court #1/2 92109,718 jamaica court 92109,100,str-01472l,4236471400,both
750 devon court 92109,750 devon court 92109,100,str-01061l,4236942002,both
3755 texas st 92104,3755 texas st 92104,100,str-02594l,4530520800,both
1752 1752 klauber av 92114,1752 klauber ave 92114,98,str-02636l,5440803700,both
8498 el paseo grande 92037,8498 el paseo grande 92037,100,str-03532l,3460501700,both
3718 bayside walk 92109,bayside walk 92109,100,str-03160l,4235580200,both
8212 n la jolla shores dr 92037,8212 la jolla shores dr 92037,100,str-01916l,3462321400,both
728 coronado court 92109,726 coronado court 92109,96,str-03647l,4237130700,both
728 coronado court 92109,726 coronado court 92109,96,str-03646l,4237130700,both
3525 bayside ln 92109,3525 bayside ln #c 92109,100,str-01144l,4236161000,both
3575 bayside ln 92109,3575 bayside ln 92109,100,str-01098l,4236071102,both
3575 bayside ln 92109,3575 bayside ln 92109,100,str-04798l,4236071102,both
3575 bayside ln 92109,3575 bayside ln 92109,100,str-04793l,4236071102,both
1041 johnson av 92103,1041 johnson ave 92103,98,str-00179l,4443710500,both
5355 la jolla mesa dr 92037,5355 la jolla mesa dr 92037,100,str-01869l,4150910200,both
3243 belle isle dr 92105,3243 belle isle dr 92105,100,str-01229l,4762421800,both
5041 narragansett av #2 92107,5041 narragansett ave 92107,95,str-00515l,4480702600,both
5041 narragansett av #2 92107,5041 narragansett ave 92107,95,str-01055l,4480702600,both
5041 narragansett av #2 92107,5041 narragansett ave 92107,95,str-00612l,4480702600,both
5041 narragansett av #2 92107,5041 narragansett ave 92107,95,str-00514l,4480702600,both
5041 narragansett av #2 92107,5041 narragansett ave 92107,95,str-00522l,4480702600,both
5041 narragansett av #2 92107,5041 narragansett ave 92107,95,str-00611l,4480702600,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-00799l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03233l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-00421l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03311l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-00385l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-02576l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03089l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-02687l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03156l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-00263l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01652l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03553l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03926l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-02952l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03517l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-06497l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01108l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-06626l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01525l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01391l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-04280l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-04213l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01165l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-04919l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01728l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-07336l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01588l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-05674l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-04086l,4155811341,both
5397 la jolla mesa dr 92037,5397 la jolla mesa dr 92037,100,str-04678l,3576600900,both
315 nw bonair st #3 92037,315 bonair st #04 92037,93,str-01184l,3513811004,both
315 nw bonair st #3 92037,315 bonair st #04 92037,93,str-02038l,3513811004,both
8126 camino del sol #1 92037,8126 camino del sol 92037,100,str-02142l,3462721002,both
8126 camino del sol #1 92037,8126 camino del sol 92037,100,str-00298l,3462721002,both
8126 camino del sol #1 92037,8126 camino del sol 92037,100,str-02139l,3462721002,both
2110 camino de la reina #110 92108,12510 caminito de la gallarda 92128,74,str-00084l,2745330106,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-00779l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-01704l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-01765l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-04173l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-03479l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-03551l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-07473l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-01988l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-05167l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-04107l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-06970l,3012300960,both
861 emerald st #2 92109,861 emerald st 92109,100,str-02900l,4155920400,both
861 emerald st #2 92109,861 emerald st 92109,100,str-02909l,4155920400,both
