license_id,address
str-01686l,4855 alberson court 92130
str-01757l,2028 30th st 92104
str-05313l,5145 coban st 92114
str-01505l,3327 32nd st 92104
str-04720l,1305 elevation rd 92110
str-00432l,5037 narragansett ave #1 92107
str-02596l,846 wilbur ave 92109
str-01357l,1567 guy st 92103
str-00173l,1330 reed ave #1 92109
str-02521l,6266 camino de la costa 92037
str-02484l,2866 copley ave 92116
str-02131l,6636 electric ave 92037
str-03103l,718 ostend court 92109
str-01586l,1061 johnson ave 92103
str-00244l,3619 strandway 92109
str-03918l,1137 felspar st 92109
str-02338l,3010 nile street st 92104
str-04414l,4502 north ave #b 92116
str-04730l,3681 leland st 92106
str-01602l,3036 landis st 92104
str-05305l,4662 mount alifan dr 92111
str-00206l,1617 s 40th st 92113
str-00514l,5041 narragansett ave #4 92107
str-01951l,5288 santa margarita st 92114
str-04673l,2931 k st 92102
str-01098l,3581 bayside walk 92109
str-00584l,8168 la jolla shores dr 92037
str-02222l,3442 47th st 92105
str-03066l,763 york court 92109
str-00238l,737 jamaica court #2 92109
str-04540l,714 capistrano place 92109
str-00560l,2219 felspar st 92109
str-02092l,2143 spray st 92107
str-02022l,3659 florida st 92104
str-01118l,4609 adair st 92107
str-01733l,2233 mission ave 92116
str-03751l,2877 mcgraw st 92117
str-02283l,5411 linda rosa ave 92037
str-02459l,3856 loma alta dr 92115
str-02482l,735 rushville st 92037
str-01831l,1715 robinson ave 92103
str-02326l,672 pacific view dr 92109
str-00913l,5047 narragansett ave 92107
str-01038l,4465 montalvo st 92107
str-03754l,1271 willow st 92106
str-00923l,2004 tulip st 92105
str-01986l,4717 cape may ave 92107
str-00203l,1828 cable st 92107
str-01032l,961 thomas ave 92109
str-01854l,718 jamaica court #1/2 92109
str-01061l,750 devon court 92109
str-02594l,3755 texas st 92104
str-02636l,1752 1752 klauber ave 92114
str-03532l,8498 el paseo grande 92037
str-02228l,3718 bayside walk 92109
str-01916l,8212 n la jolla shores dr 92037
str-03646l,728 coronado court 92109
str-01144l,3525 bayside ln 92109
str-04798l,3575 bayside ln 92109
str-00179l,1041 johnson ave 92103
str-01869l,5355 la jolla mesa dr 92037
str-01229l,3243 belle isle dr 92105
str-01055l,5041 narragansett ave #2 92107
str-00421l,4667 ocean blvd #314 92109
str-04678l,5397 la jolla mesa dr 92037
str-01184l,315 nw bonair st #3 92037
str-00298l,8126 camino del sol #1 92037
str-02682l,2110 camino de la reina #110 92108
str-00779l,2260 del mar scenic py 92014
str-02900l,861 emerald st #2 92109
str-01464l,4767 ocean blvd diego ca 92109
str-03871l,819 island court 92109
str-02095l,968 law st #b 92109
str-02277l,5296 alta vista st 92109
str-02524l,6265 caminito basilio 92111
str-04234l,1544 chalcedony st #c 92109
str-04960l,3364 mission blvd 92109
str-02927l,2695 ocean front walk 92109
str-02732l,414 morrison st 92102
str-04226l,3925 cleveland ave 92103
str-01621l,9503 la jolla shores dr 92037
str-01777l,3434 alabama st 92104
str-00965l,4092 ohio st 92104
str-02186l,4373 maryland st 92103
str-01122l,3216 1/2 third ave 92103
str-02013l,7025 neptune pl 92037
str-01895l,702 beryl st 92109
str-01938l,1741 columbia st 92101
str-02080l,2049 w california st 92110
str-03244l,4767 ocean blvd blvd #405 92109
str-00703l,4913 brighton ave ave 92107
str-03883l,834 w mission bay dr 92109
str-05813l,3772 granada ave 92104
str-03643l,728 ensenada court 92109
str-03023l,2908 monroe ave 92116
str-02892l,1938 felspar st #3 92109
str-05040l,5070 voltaire 92107
str-00353l,146 hawthorn st 92101
str-00862l,1831 david st 92111
str-02039l,3535 promontory st 92109
str-00321l,5237 ocean breeze court 92109
str-01704l,13020 caminito del rocio #b 92014
str-00525l,5045 narragansett ave #4 92107
str-01247l,5393 la jolla mesa dr dr 92037
str-01120l,1240 archer st 92109
str-00972l,841 pismo court 92109
str-03921l,1261 torrey pines rd 92037
str-01750l,2937 suncrest dr 92116
str-03761l,2692 c st #3 92102
str-01999l,981 island ave #11 92101
str-03246l,822 vanitie court #3 92109
str-05220l,1828 spalding pl 92116
str-00496l,8002 la jolla shores dr 92037
str-02414l,3400 yosemite st 92109
str-02554l,2934 spruce st 92104
str-05811l,1911 crenshaw st 92105
str-03667l,3390 dorchester dr 92123
str-00129l,2811 reynard wy #1 92103
str-04106l,3317 grim ave #3319 92104
str-03713l,460 sea cove pt 92154
str-02065l,2656 strandway 92109
str-00842l,818 jamaica court 92109
str-01573l,4604 osprey st 92107
str-02332l,7363 fay ave 92037
str-04262l,5548 riley st 92110
str-02036l,1456 law st 92109
str-02199l,8461 hydra ln 92126
str-00785l,825 bush st 92103
str-03864l,2112 balboa ave #12 92109
str-03844l,2745 strandway #b 92109
str-01029l,2053 5th ave 92101
str-00944l,1220 emerald st 92109
str-02674l,3487 collier ave 92116
str-03089l,4667 ocean blvd #109 92109
str-05816l,3456 wisteria dr 92106
str-03691l,1194 van nuys st 92109
str-03756l,725 cohasset court 92109
str-04937l,720 queenstown court 92109
str-04670l,3656 bayside walk #a 92109
str-02729l,4338 33rd pl 92104
str-02353l,5125 muir ave 92107
str-05297l,3750 alcott st 92106
str-02977l,876 thomas ave 92109
str-00510l,6222 valner wy 92139
str-00775l,1612 chalcedony st 92109
str-04199l,1177 pacific beach dr 92109
str-02534l,814 santa barbara pl 92109
str-01397l,247 westbourne st 92037
str-02645l,1827 edgemont st 92102
str-01516l,1558 ebers st 92107
str-02792l,802 san juan pl 92109
str-00436l,1903 diamond st 92109
str-04310l,4141 mississippi st #1/2 92104
str-02408l,3856 via del mar 92130
str-00132l,5106 muir 92107
str-00013l,5059 niagara ave #5 92107
str-03618l,3305 mcgraw st 92117
str-01427l,2808 bayside walk #c 92109
str-03487l,709 tangiers court 92109
str-00792l,719 jamaica court #b 92109
str-02219l,810 deal court 92109
str-03145l,725 chalcedony st #725 92109
str-02683l,417 sea ridge dr 92037
str-01363l,3221 copley ave 92116
str-04546l,3587 princeton ave 92117
str-03577l,2970 l st 92102
str-01578l,543 boanir wy 92037
str-05308l,5810 meade ave 92115
str-00125l,2561 e st 92102
str-00613l,4953 brighton ave 92107
str-01959l,1923 linwood st 92110
str-02088l,1842 kearney ave 92113
str-02202l,4338 33rd st 92104
str-04207l,743 yarmouth court san diego 92109
str-02916l,849 beryl st 92109
str-02809l,2660 mission blvd #8 92109
str-01903l,350 11th ave #824 92101
str-00868l,2827 polk ave 92104
str-02438l,1040 1040 cypress way wy 92103
str-02491l,4011 bernice dr 92107
str-02647l,10441 harlow cr #36 92108
str-03923l,819 ostend court 92109
str-05825l,2963 laurel st 92104
str-05810l,3968 broadlawn st 92111
